Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
B1,52.47994101876723,-1.9092213678605525,Symphony Hall,52.47887388988232,-1.9102289533058365,Concert Hall
B1,52.47994101876723,-1.9092213678605525,Canalside Walk,52.481310526916516,-1.9091389757532378,Trail
B1,52.47994101876723,-1.9092213678605525,Hyatt Regency Birmingham,52.47809589017726,-1.9093243986662536,Hotel
B1,52.47994101876723,-1.9092213678605525,The Shakespeare Inn,52.48137065226961,-1.9068746811299047,Pub
B1,52.47994101876723,-1.9092213678605525,The Rep Theatre,52.47948866726572,-1.9092889130115507,Theater
B1,52.47994101876723,-1.9092213678605525,Worcester & Birmingham Canal,52.4784069753986,-1.911864084037674,Canal
B1,52.47994101876723,-1.9092213678605525,Rajdoot Tandoori,52.48263488483381,-1.910546799332722,Indian Restaurant
B1,52.47994101876723,-1.9092213678605525,Brindleyplace,52.477904391708485,-1.9131339832878704,Shopping Plaza
B1,52.47994101876723,-1.9092213678605525,Dishoom,52.480323,-1.90452,Indian Restaurant
B1,52.47994101876723,-1.9092213678605525,Pitcher & Piano,52.47833815427641,-1.9118546360504445,Bar
B1,52.47994101876723,-1.9092213678605525,Birmingham Museum & Art Gallery,52.48038458300301,-1.9039049525886564,History Museum
B1,52.47994101876723,-1.9092213678605525,Birmingham Town Hall,52.47950903221168,-1.903560487500276,Concert Hall
B1,52.47994101876723,-1.9092213678605525,Itihaas,52.48325391970638,-1.90600664113627,Indian Restaurant
B1,52.47994101876723,-1.9092213678605525,Gas Street Canal Basin,52.477284903119,-1.9096791744232178,Harbor / Marina
B1,52.47994101876723,-1.9092213678605525,The Canal House,52.477395769765536,-1.9090701186735692,Bar
B1,52.47994101876723,-1.9092213678605525,Pushkar,52.47698676221054,-1.911957736436397,Indian Restaurant
B1,52.47994101876723,-1.9092213678605525,The Gin Vault,52.47773454982513,-1.910869156619111,Cocktail Bar
B1,52.47994101876723,-1.9092213678605525,The Secret Garden,52.47963218172471,-1.9085002477444764,Garden
B1,52.47994101876723,-1.9092213678605525,Central Square,52.47813522206826,-1.9135154108439332,Pedestrian Plaza
B1,52.47994101876723,-1.9092213678605525,Post Office Vaults,52.4792326687715,-1.9019600536918846,Pub
B1,52.47994101876723,-1.9092213678605525,Centenary Square,52.4792822258068,-1.9084319162501528,Plaza
B1,52.47994101876723,-1.9092213678605525,Ikon Gallery,52.47750158470626,-1.912660654405699,Art Gallery
B1,52.47994101876723,-1.9092213678605525,National Sea Life Centre,52.478844,-1.9138178,Aquarium
B1,52.47994101876723,-1.9092213678605525,International Convention Centre (ICC),52.4788666450651,-1.9103499765199228,Convention Center
B1,52.47994101876723,-1.9092213678605525,Bank,52.47837454677824,-1.9138526916503904,Restaurant
B1,52.47994101876723,-1.9092213678605525,Celebrity Indian Restaurant,52.477938447209375,-1.9112949544323727,Indian Restaurant
B1,52.47994101876723,-1.9092213678605525,Holiday Inn Express Birmingham - City Centre,52.4777766,-1.906879,Hotel
B1,52.47994101876723,-1.9092213678605525,Victoria Square,52.479656926412176,-1.902608871459961,Plaza
B1,52.47994101876723,-1.9092213678605525,Java Lounge,52.480337612786265,-1.9019426142075446,Coffee Shop
B1,52.47994101876723,-1.9092213678605525,Edwardian Tea Rooms,52.48073724631185,-1.9030339803075456,Tea Room
B1,52.47994101876723,-1.9092213678605525,Jimmy Spice's,52.47767547341941,-1.9099495859835829,Buffet
B1,52.47994101876723,-1.9092213678605525,Gourmet Burger Kitchen,52.477911,-1.911897,Burger Joint
B1,52.47994101876723,-1.9092213678605525,Piccolino,52.47740895183836,-1.9129520755165603,Italian Restaurant
B1,52.47994101876723,-1.9092213678605525,Coffee Costes,52.48213336524048,-1.9031667709350586,Café
B1,52.47994101876723,-1.9092213678605525,The Alchemist,52.47780767405923,-1.9140458106994627,Cocktail Bar
B1,52.47994101876723,-1.9092213678605525,Waterhall Gallery of Modern & Contemporary Art,52.48058479053517,-1.9035530090332031,Art Gallery
B1,52.47994101876723,-1.9092213678605525,Bistrot Piérre,52.47681767133494,-1.9093479216098785,French Restaurant
B1,52.47994101876723,-1.9092213678605525,Athens Restaurant,52.4791275843568,-1.9043219689361401,Greek Restaurant
B1,52.47994101876723,-1.9092213678605525,The Queens Arms,52.483773723923576,-1.9065205903688975,Pub
B1,52.47994101876723,-1.9092213678605525,Cielo,52.47729143779411,-1.9129192829132082,Italian Restaurant
B1,52.47994101876723,-1.9092213678605525,Starbucks,52.480386,-1.90217,Coffee Shop
B1,52.47994101876723,-1.9092213678605525,Pret A Manger,52.47912110863971,-1.903681755065918,Sandwich Place
B1,52.47994101876723,-1.9092213678605525,Kongs of Birmingham,52.478862,-1.902708,Bar
